Country,Human_development,GII,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,HDIR,HDI,LEAB,EYS,MYS,GNI,ISO-Code
Kiribati,Medium,,92.0,40.5,6.7,,,,,136,0.624,67.4,11.8,8.0,"4,063",KIR
Honduras,Medium,0.431,65.0,72.0,27.3,35.8,44.8,42.3,78.9,137,0.621,70.1,10.1,7.1,"5,298",HND
Sao Tome and Principe,Medium,0.494,130.0,79.4,23.6,39.9,48.4,37.1,69.9,138,0.618,67.6,13.4,6.2,"4,021",STP
Namibia,Medium,0.445,195.0,64.9,35.6,41.5,44.1,54.5,62.2,139,0.615,59.3,11.9,7.2,"8,634",NAM
Lao People's Democratic Republic,Medium,0.478,185.0,73.2,22.0,37.7,47.7,74.8,78.1,140,0.607,68.1,10.1,5.4,"7,700",LAO
Timor-Leste,Medium,0.378,142.0,33.9,38.5,33.7,41.8,61.0,72.2,140,0.607,67.7,12.6,5.4,"4,461",TLS
Vanuatu,Medium,,72.0,64.1,0.0,,,59.7,78.0,140,0.607,70.4,11.5,7.1,"3,085",VUT
Nepal,Medium,0.452,186.0,63.8,33.6,28.8,44.7,78.7,80.8,143,0.602,68.4,12.9,5.1,"3,877",NPL
Eswatini,Medium,0.54,437.0,69.9,18.4,34.0,36.2,45.6,53.6,144,0.597,57.1,13.7,5.6,"7,679",SWZ
Equatorial Guinea,Medium,,301.0,139.7,20.3,,,49.9,58.5,145,0.596,60.6,9.7,5.9,"12,074",GNQ
Cambodia,Medium,0.461,160.0,45.5,19.8,18.3,31.7,74.0,85.9,146,0.593,69.6,11.5,5.1,"4,079",KHM
Zimbabwe,Medium,0.532,458.0,94.3,34.6,61.8,72.4,79.3,88.9,146,0.593,59.3,12.1,8.7,"3,810",ZWE
Angola,Medium,0.537,241.0,138.4,29.5,28.2,51.5,74.0,79.1,148,0.586,61.6,12.2,5.4,"5,466",AGO
Myanmar,Medium,0.498,250.0,33.0,15.0,38.5,47.8,41.0,70.0,149,0.585,65.7,10.9,6.4,"3,851",MMR
Syrian Arab Republic,Medium,0.477,31.0,38.7,11.2,37.1,43.4,15.7,70.8,150,0.577,72.1,9.2,5.1,"4,192",SYR
Cameroon,Medium,0.565,529.0,110.4,31.1,36.8,55.0,70.2,80.7,151,0.576,60.3,13.1,6.2,"3,621",CMR
Kenya,Medium,0.506,342.0,64.2,23.2,31.1,37.7,71.0,75.6,152,0.575,61.4,10.7,6.7,"4,474",KEN
Congo,Medium,0.564,378.0,103.6,13.6,48.0,52.0,65.1,67.6,153,0.571,63.5,12.3,6.2,"2,889",COG
Zambia,Medium,0.54,213.0,117.0,15.1,47.1,56.8,69.2,77.8,154,0.565,61.2,10.9,7.2,"3,218",ZMB
Solomon Islands,Medium,,104.0,60.3,8.0,,,83.1,87.4,155,0.564,70.3,10.3,5.7,"2,482",SLB
Comoros,Medium,,273.0,58.2,16.7,,,32.1,54.5,156,0.558,63.4,11.9,5.1,"3,142",COM
Papua New Guinea,Medium,0.725,145.0,55.3,0.0,10.8,15.5,46.3,48.1,156,0.558,65.4,10.4,4.7,"4,009",PNG
Mauritania,Medium,0.632,766.0,78.0,20.3,14.5,21.9,27.4,62.2,158,0.556,64.4,9.4,4.9,"5,075",MRT
Côte d'Ivoire,Medium,0.613,617.0,105.0,15.6,23.9,32.2,45.9,64.9,159,0.55,58.6,10.7,5.2,"5,217",CIV
Tanzania,Low,0.56,524.0,123.7,36.9,13.0,19.1,79.5,87.1,160,0.549,66.2,9.2,6.4,"2,664",
Pakistan,Low,0.534,140.0,42.3,19.9,22.1,28.7,20.7,78.1,161,0.544,66.1,8.7,4.5,"4,624",PAK
Togo,Low,0.58,396.0,77.9,18.7,13.9,42.3,55.5,59.4,162,0.539,61.6,13.0,5.0,"2,167",TGO
Haiti,Low,0.635,480.0,52.5,2.7,27.9,41.0,60.7,68.9,163,0.535,63.2,9.7,5.6,"2,848",HTI
Nigeria,Low,0.68,917.0,101.7,4.5,40.4,55.3,47.9,59.6,163,0.535,52.7,10.1,7.2,"4,790",NGA
Rwanda,Low,0.388,248.0,32.4,55.7,11.4,16.3,82.5,82.2,165,0.534,66.1,11.2,4.4,"2,210",RWA
Benin,Low,0.602,397.0,92.3,8.4,21.1,34.4,69.3,72.6,166,0.525,59.8,10.8,4.3,"3,409",BEN
Uganda,Low,0.53,375.0,107.9,33.8,29.3,36.3,64.2,71.3,166,0.525,62.7,10.1,5.7,"2,181",UGA
Lesotho,Low,0.557,544.0,89.6,22.9,27.2,24.6,56.1,71.3,168,0.514,53.1,12.0,6.0,"2,700",LSO
Malawi,Low,0.554,349.0,117.9,22.9,21.3,28.4,71.6,80.0,169,0.512,62.9,12.7,4.5,"1,466",MWI
Senegal,Low,0.53,315.0,66.5,43.0,11.1,30.9,33.5,56.7,170,0.511,67.1,9.0,2.9,"3,344",SEN
Djibouti,Low,,248.0,22.7,26.2,,,17.2,44.1,171,0.509,62.3,7.4,4.1,"5,025",DJI
Sudan,Low,0.553,295.0,79.9,31.0,16.4,20.1,28.7,67.8,172,0.508,65.3,7.9,3.8,"3,575",SDN
Madagascar,Low,0.556,335.0,119.4,17.2,27.3,29.8,81.5,87.6,173,0.501,64.5,10.1,5.1,"1,484",MDG
Gambia,Low,0.611,597.0,63.2,8.6,29.9,43.2,48.9,66.3,174,0.5,62.1,9.4,4.6,"2,172",GMB
Ethiopia,Low,0.52,401.0,69.2,39.5,9.1,20.1,72.3,84.7,175,0.498,65.0,9.7,3.2,"2,361",ETH
Eritrea,Low,,480.0,64.4,22.0,,,70.2,83.6,176,0.492,66.5,8.1,4.9,"1,729",ERI
Guinea-Bissau,Low,0.627,667.0,87.5,13.7,9.8,22.8,63.9,78.4,177,0.483,59.7,10.6,3.6,"1,908",GNB
Liberia,Low,0.648,661.0,123.4,9.7,20.8,39.2,69.8,79.7,178,0.481,60.7,10.4,5.1,"1,289",LBR
Congo,Low,0.601,473.0,109.0,14.3,40.3,69.1,61.2,69.1,153,0.571,63.5,12.3,6.2,"2,889",COG
Afghanistan,Low,0.678,638.0,82.6,27.2,6.4,14.9,14.8,66.5,180,0.478,62.0,10.3,3.0,"1,824",AFG
Sierra Leone,Low,0.633,1120.0,100.9,12.3,34.7,51.5,56.1,55.9,181,0.477,60.1,9.6,4.6,"1,622",SLE
Guinea,Low,0.621,576.0,114.8,16.7,7.2,19.7,62.1,62.2,182,0.465,58.9,9.8,2.2,"2,481",GIN
Yemen,Low,0.82,164.0,54.4,0.3,22.4,37.5,6.0,67.6,183,0.455,63.8,9.1,3.2,"1,314",YEM
Burkina Faso,Low,0.621,320.0,110.5,6.3,11.3,17.1,57.2,72.7,184,0.449,59.3,9.1,2.1,"2,118",BFA
Mozambique,Low,0.537,289.0,165.8,42.4,10.8,20.2,77.7,78.9,185,0.446,59.3,10.2,3.2,"1,198",MOZ
Mali,Low,0.613,562.0,150.1,27.3,8.0,15.5,57.7,79.7,186,0.428,58.9,7.4,2.3,"2,133",MLI
Burundi,Low,0.505,548.0,53.6,38.9,7.8,13.0,79.0,77.4,187,0.426,61.7,10.7,3.1,732,BDI
Central African Republic,Low,0.672,829.0,160.5,12.9,13.9,31.6,63.3,79.5,188,0.404,53.9,8.0,4.3,966,CAF
Niger,Low,0.611,509.0,170.5,25.9,9.2,15.2,61.7,84.3,189,0.4,61.6,7.0,2.1,"1,240",NER
Chad,Low,0.652,1140.0,138.3,32.3,7.7,24.4,46.9,69.9,190,0.394,52.5,8.0,2.6,"1,364",TCD
South Sudan,Low,0.587,1150.0,99.2,32.3,26.5,36.4,70.4,73.6,191,0.385,55.0,5.5,5.7,768,SSD
North Korea,,,89.0,2.3,17.6,,,77.2,86.1,-1,,,,,,
Monaco,,,,7.2,33.3,,,,,-1,,,,,,MCO
Nauru,,,,72.5,10.5,,,,,-1,,,,,,NRU
Somalia,,,829.0,118.0,24.6,,,20.9,47.0,-1,,,,,,SOM
